conversation_id,channel,customer_message,language,synthetic,annotator_1_label,annotator_2_label,annotator_3_label,adjudicated_intent,annotation_confidence,review_status,reviewer_id
CONV-00682,chat,I need some help. I’m planning around the delivery. When is it expected? I haven't changed anything on my account. Please let me know.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00683,email,"Hi, When should the refund appear in my account? I noticed this while reviewing my recent activity. I'd appreciate your help.",en,True,refund_status,return_request,refund_status,refund_status,medium,adjudicated,REVIEWER-001
CONV-00684,email,Just checking — Can I change the shipping address for ORD-103745? I noticed this while reviewing my recent activity. Thanks.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00685,email,Could you help me? My subscription payment was higher than I expected. I placed the order earlier today. I'd appreciate your help.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00686,email,I’m contacting support because Where should I enter my promo code? I haven't changed anything on my account.,en,True,promo_code,payment_failure,promo_code,promo_code,medium,adjudicated,REVIEWER-001
CONV-00687,chat,I’m checking on ORD-100120. Could you tell me its current status?,en,True,delivery_tracking,order_status,order_status,order_status,medium,adjudicated,REVIEWER-001
CONV-00688,chat,I need some help. There is visible damage on the item I received. This is my first time dealing with this issue. Can you check?,en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00689,chat,"Hi, Where should I enter my promo code? I noticed this while reviewing my recent activity. Thanks.",en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00690,web_form,Quick question: I want to track the package that was just dispatched. I placed the order earlier today. Thanks.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00691,chat,Just checking — The discount isn't being applied even though I entered the code. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00692,mobile_app,"Hi, I need the specifications before I decide whether to buy it. I placed the order earlier today. I'd appreciate your help.",en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00693,web_form,"Hello, Would you mind checking the latest status of ORD-100134? This is my first time dealing with this issue. Please let me know.",en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00694,web_form,Just checking — The item I received isn't the one I ordered. I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00695,chat,Just checking — Can you help me cancel my recent order? I placed the order earlier today. I'd appreciate your help.,en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00696,email,I wanted to check whether The delivered item doesn't match my order. Can you check?,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00697,chat,"Hello, Would you mind checking the latest status of ORD-100184? I haven't changed anything on my account.",en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00698,web_form,"Hi, Checkout keeps rejecting my payment. I placed the order earlier today. I’d like to resolve this today.",en,True,payment_failure,payment_failure,payment_failure,payment_failure,high,approved,
CONV-00699,web_form,Please advise: My package contains a different product. I placed the order earlier today. I’d like to resolve this today.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00700,mobile_app,Could you help me? What is the estimated delivery date for my package? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00701,email,Could you help me? Could you explain the available options for this product? I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00702,web_form,I wanted to check whether I have a question about the charge on my recurring plan. This is my first time dealing with this issue. Please let me know.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00703,email,Quick question: I need to create a new password because I can't remember mine. I placed the order earlier today. I'd appreciate your help.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00704,email,"Please advise: I received the package, but one of the products is absent. I noticed this while reviewing my recent activity. Thanks.",en,True,missing_item,missing_item,wrong_item,missing_item,medium,adjudicated,REVIEWER-001
CONV-00705,mobile_app,I wanted to check whether I want to track the package that was just dispatched. I haven't changed anything on my account. Can you check?,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00706,mobile_app,"Hello, Can you show me the latest tracking update for my shipment? This is my first time dealing with this issue. Can you check?",en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00707,email,Just checking — There is visible damage on the item I received. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00708,email,I need some help. The delivery date for ORD-100251 has passed and I'm still waiting.,en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00709,web_form,"Hello, I entered the wrong delivery address. Can it be corrected? Can you check?",en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00710,mobile_app,"Hi, How do I change the address attached to my order? I noticed this while reviewing my recent activity. I'd appreciate your help.",en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00711,mobile_app,Just checking — Can you explain the latest recurring charge? I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00712,mobile_app,Please advise: Why are there duplicate transactions for one order? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00713,web_form,I’m contacting support because Can you see what stage ORD-100122 is at right now? This is my first time dealing with this issue. Thank you.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00714,email,I need some help. The discount isn't being applied even though I entered the code. I haven't changed anything on my account.,en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00715,mobile_app,"Hello, I received a security alert for an unfamiliar sign-in. I haven't changed anything on my account. Please let me know.",en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00716,email,I no longer want this order. Is cancellation still possible? Thank you.,en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00717,chat,Please update the destination before the order ships. I haven't changed anything on my account. Thank you.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00718,mobile_app,Quick question: Can you give me an ETA for this shipment? I placed the order earlier today. I’d like to resolve this today.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00719,email,"I wanted to check whether I have tried several times, but the transaction won't go through. This is my first time dealing with this issue. Can you check?",en,True,subscription_billing,payment_failure,payment_failure,payment_failure,medium,adjudicated,REVIEWER-001
CONV-00720,email,Please advise: I forgot my password. How can I reset it? I placed the order earlier today. I'd appreciate your help.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00721,email,I want to cancel my subscription. I haven't changed anything on my account. Please let me know.,en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00722,chat,"Hello, I'm still waiting for the money from my return. Can you check? I haven't changed anything on my account. Can you check?",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00723,web_form,"Hi, Could you explain the return process for this purchase? I’m trying to sort this out before the end of the day. Thanks.",en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00724,chat,Just checking — I don't want the subscription to continue after this billing period. I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,subscription_cancel,order_cancellation,subscription_cancel,subscription_cancel,medium,adjudicated,REVIEWER-001
CONV-00725,web_form,"Hi, I can't sign in to my account. I noticed this while reviewing my recent activity. Any guidance would be helpful.",en,True,account_security,account_access,account_access,account_access,medium,adjudicated,REVIEWER-001
CONV-00726,mobile_app,I’m contacting support because Could you tell me the current location or transit stage of my parcel?,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00727,web_form,"Hi, Could you explain the return process for this purchase? I placed the order earlier today. Thanks.",en,True,refund_status,return_request,return_request,return_request,medium,adjudicated,REVIEWER-001
CONV-00728,chat,"Hello, When should ORD-100720 arrive? This is my first time dealing with this issue. Thank you.",en,True,delivery_estimate,delivery_tracking,delivery_estimate,delivery_estimate,medium,adjudicated,REVIEWER-001
CONV-00729,web_form,One product from my order is missing. This is my first time dealing with this issue.,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00730,web_form,"Hello, I received the package, but one of the products is absent.",en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00731,mobile_app,Has the courier scanned ORD-104877 yet? Can you check?,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00732,web_form,I wanted to check whether Can you give me an ETA for this shipment? I haven't changed anything on my account. Can you check?,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00733,chat,"Hi, How can I prevent the plan from renewing? I noticed this while reviewing my recent activity. I’d like to resolve this today.",en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00734,chat,I’m contacting support because When should the refund appear in my account?,en,True,refund_status,return_request,refund_status,refund_status,medium,adjudicated,REVIEWER-001
CONV-00735,mobile_app,I need some help. Where is ORD-104845 right now? I haven't changed anything on my account. Can you check?,en,True,delivery_tracking,delivery_tracking,delivery_delay,delivery_tracking,medium,adjudicated,REVIEWER-001
CONV-00736,mobile_app,"Hello, Can you show me the latest tracking update for my shipment?",en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00737,chat,"Could you help me? I expected this shipment already, but it hasn't turned up. I’m trying to sort this out before the end of the day. Any guidance would be helpful.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00738,web_form,Please advise: What steps do I need to follow to return this product? I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00739,email,"Hello, I received a security alert for an unfamiliar sign-in.",en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00740,chat,Quick question: The promised delivery window is over for ORD-100274. I placed the order earlier today. Thanks.,en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00741,chat,"Hello, I received the package, but one of the products is absent. I haven't changed anything on my account. Thank you.",en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00742,email,Just checking — I’m planning around the delivery. When is it expected? I placed the order earlier today. Thanks.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00743,email,Please advise: I entered the wrong delivery address. Can it be corrected? I’m trying to sort this out before the end of the day. Thanks.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00744,email,Could you help me? My subscription payment was higher than I expected. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00745,web_form,Could you help me? Has the courier scanned ORD-104892 yet? I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00746,chat,Quick question: I keep getting rejected when I try to sign in. I placed the order earlier today. I'd appreciate your help.,en,True,account_access,account_access,password_reset,account_access,medium,adjudicated,REVIEWER-001
CONV-00747,email,Please advise: When should ORD-100605 arrive? I’m trying to sort this out before the end of the day. Thanks.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00748,web_form,"Hi, Could you explain the return process for this purchase? I placed the order earlier today. Thanks.",en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00749,mobile_app,Quick question: Can you give me an ETA for this shipment? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00750,mobile_app,Just checking — What exactly is included with this item? I placed the order earlier today. I’d like to resolve this today.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00751,email,I was sent the wrong model. I haven't changed anything on my account.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00752,email,Something about my account activity looks suspicious. This is my first time dealing with this issue.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00753,chat,Quick question: I want to track the package that was just dispatched. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00754,chat,Please advise: Can you show me the latest tracking update for my shipment? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00755,chat,"Hi, How can I prevent the plan from renewing? I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00756,chat,"Could you help me? I expected this shipment already, but it hasn't turned up. I placed the order earlier today. Thanks.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00757,mobile_app,"Could you help me? My delivery arrived, but the item inside is damaged. I noticed this while reviewing my recent activity. Thanks.",en,True,missing_item,damaged_item,damaged_item,damaged_item,medium,adjudicated,REVIEWER-001
CONV-00758,chat,"I wanted to check whether The box arrived, but adapter wasn't inside. This is my first time dealing with this issue. Thank you.",en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00759,mobile_app,Could you help me? My subscription payment was higher than I expected. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00760,chat,Could you help me? Something about my account activity looks suspicious. I noticed this while reviewing my recent activity. Thanks.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00761,email,Just checking — Can I change the shipping address for ORD-103725? I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00762,web_form,Could you help me? My payment is being declined at checkout. I placed the order earlier today. I'd appreciate your help.,en,True,payment_failure,payment_failure,payment_failure,payment_failure,high,approved,
CONV-00763,web_form,The same purchase appears twice on my card statement. I haven't changed anything on my account. Can you check?,en,True,payment_failure,duplicate_charge,duplicate_charge,duplicate_charge,medium,adjudicated,REVIEWER-001
CONV-00764,mobile_app,Something about my account activity looks suspicious. Please let me know.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00765,web_form,I need some help. Can you explain the latest recurring charge? Please let me know.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00766,web_form,"Hi, Could you explain the return process for this purchase? I noticed this while reviewing my recent activity. Any guidance would be helpful.",en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00767,web_form,I need some help. Has the refund for ORD-101010 been issued yet? Please let me know.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00768,chat,Quick question: I keep getting rejected when I try to sign in. I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00769,mobile_app,I’m contacting support because I can't sign in to my account.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00770,chat,Please advise: Can you cancel ORD-101870 for me? I placed the order earlier today. I’d like to resolve this today.,en,True,return_request,order_cancellation,order_cancellation,order_cancellation,medium,adjudicated,REVIEWER-001
CONV-00771,email,"Could you help me? My delivery arrived, but the item inside is damaged. I placed the order earlier today. I'd appreciate your help.",en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00772,email,"Quick question: The item was returned, but I haven't received the refund. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00773,web_form,Quick question: Please stop ORD-101832 before it is dispatched. I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00774,web_form,Just checking — The delivery date for ORD-100376 has passed and I'm still waiting. I placed the order earlier today. I'd appreciate your help.,en,True,delivery_tracking,delivery_delay,delivery_delay,delivery_delay,medium,adjudicated,REVIEWER-001
CONV-00775,mobile_app,I need some help. I don't want the subscription to continue after this billing period. I haven't changed anything on my account.,en,True,subscription_cancel,order_cancellation,order_cancellation,order_cancellation,medium,adjudicated,REVIEWER-001
CONV-00776,chat,"Hello, I entered the wrong delivery address. Can it be corrected? Please let me know.",en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00777,chat,Please advise: What steps do I need to follow to return this product? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00778,chat,"Could you help me? I expected this shipment already, but it hasn't turned up. I’m trying to sort this out before the end of the day. Thanks.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00779,web_form,"I wanted to check whether The item was returned, but I haven't received the refund. I haven't changed anything on my account. Thank you.",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00780,email,"Hello, Could you help me end my recurring plan? Please let me know.",en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00781,web_form,Please advise: I'm locked out of my account and need access. I’m trying to sort this out before the end of the day. Thanks.,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00782,chat,I wanted to check whether The item arrived damaged. What should I do? I haven't changed anything on my account.,en,True,damaged_item,damaged_item,damaged_item,damaged_item,high,approved,
CONV-00783,mobile_app,"Hi, Why was my subscription charged this month? I’m trying to sort this out before the end of the day. Any guidance would be helpful.",en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00784,web_form,I’m contacting support because My multi-item order is incomplete. This is my first time dealing with this issue.,en,True,missing_item,missing_item,damaged_item,missing_item,medium,adjudicated,REVIEWER-001
CONV-00785,chat,"Hello, I don't recognize the amount billed for my membership. This is my first time dealing with this issue. Can you check?",en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00786,mobile_app,"Hello, I'm locked out of my account and need access. I haven't changed anything on my account. Can you check?",en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00787,email,I’m contacting support because How can I prevent the plan from renewing? Thank you.,en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00788,web_form,"I wanted to check whether The item was returned, but I haven't received the refund. I haven't changed anything on my account. Thank you.",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00789,email,Something about my account activity looks suspicious. This is my first time dealing with this issue. Can you check?,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00790,web_form,Please advise: I can't finish the purchase because the payment isn't accepted. I placed the order earlier today. I’d like to resolve this today.,en,True,payment_failure,payment_failure,subscription_billing,payment_failure,medium,adjudicated,REVIEWER-001
CONV-00791,email,Could you help me? One product from my order is missing. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00792,email,Just checking — It looks like I was billed twice for ORD-101721. I placed the order earlier today. Thanks.,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00793,mobile_app,Please advise: Does this product come with the accessories shown? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00794,mobile_app,Could you help me? I’m checking on ORD-100175. Could you tell me its current status? I’m trying to sort this out before the end of the day. Thanks.,en,True,delivery_estimate,delivery_estimate,order_status,delivery_estimate,medium,adjudicated,REVIEWER-001
CONV-00795,mobile_app,I wanted to check whether I want to track the package that was just dispatched. I haven't changed anything on my account. Can you check?,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00796,mobile_app,I need some help. Can you help me cancel my recent order? This is my first time dealing with this issue.,en,True,order_cancellation,order_status,order_cancellation,order_cancellation,medium,adjudicated,REVIEWER-001
CONV-00797,email,Could you help me? I’m checking on ORD-100045. Could you tell me its current status? I noticed this while reviewing my recent activity. I'd appreciate your help.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00798,mobile_app,Something about my account activity looks suspicious. This is my first time dealing with this issue. Thank you.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00799,web_form,Could you explain the available options for this product? Can you check?,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00800,mobile_app,Just checking — Has the refund for ORD-101075 been issued yet? I placed the order earlier today. Thanks.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00801,mobile_app,I wanted to check whether I keep getting rejected when I try to sign in. This is my first time dealing with this issue. Can you check?,en,True,account_access,account_access,account_access,account_access,high,approved,
CONV-00802,chat,I wanted to check whether I think I was charged more than once for a single checkout. I haven't changed anything on my account. Please let me know.,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00803,mobile_app,I’m contacting support because Something different was packed instead of what I purchased. This is my first time dealing with this issue. Thank you.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00804,web_form,"Quick question: I have tried several times, but the transaction won't go through. I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True,duplicate_charge,payment_failure,payment_failure,payment_failure,medium,adjudicated,REVIEWER-001
CONV-00805,chat,Quick question: The delivered item doesn't match my order. I noticed this while reviewing my recent activity. Thanks.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00806,chat,Quick question: Please stop my recurring membership. I placed the order earlier today. I'd appreciate your help.,en,True,subscription_cancel,subscription_cancel,subscription_cancel,subscription_cancel,high,approved,
CONV-00807,web_form,I’m contacting support because Where can I request a password reset? This is my first time dealing with this issue. Please let me know.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00808,chat,"Hello, Does this product come with the accessories shown? I haven't changed anything on my account. Please let me know.",en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00809,email,"I expected this shipment already, but it hasn't turned up. This is my first time dealing with this issue.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00810,chat,Quick question: I want to track the package that was just dispatched. I placed the order earlier today. I'd appreciate your help.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00811,chat,Just checking — I changed my mind and would like to send the item back. I placed the order earlier today. I’d like to resolve this today.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00812,email,Could you help me? The same purchase appears twice on my card statement. I’m trying to sort this out before the end of the day. Thanks.,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00813,chat,"I wanted to check whether The item was returned, but I haven't received the refund. This is my first time dealing with this issue. Can you check?",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00814,chat,"Hello, Why are there duplicate transactions for one order? This is my first time dealing with this issue. Please let me know.",en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00815,web_form,Quick question: I noticed a login I don't recognize. I placed the order earlier today. I'd appreciate your help.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00816,email,Please advise: I forgot my password. How can I reset it? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,account_security,password_reset,password_reset,password_reset,medium,adjudicated,REVIEWER-001
CONV-00817,web_form,"Hi, Something different was packed instead of what I purchased. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00818,mobile_app,Just checking — Can I change the shipping address for ORD-103575? I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00819,chat,Just checking — Where is ORD-104870 right now? I placed the order earlier today. I'd appreciate your help.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00820,mobile_app,I need some help. The item I received isn't the one I ordered. I haven't changed anything on my account. Please let me know.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00821,web_form,Just checking — I changed my mind and would like to send the item back. I’m trying to sort this out before the end of the day. Thanks.,en,True,return_request,order_cancellation,return_request,return_request,medium,adjudicated,REVIEWER-001
CONV-00822,chat,Could you help me? Has the courier scanned ORD-104942 yet? I placed the order earlier today. I'd appreciate your help.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00823,email,"Hi, Where can I request a password reset? I placed the order earlier today. I’d like to resolve this today.",en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00824,mobile_app,Could you help me? Could you explain the available options for this product? I placed the order earlier today. I’d like to resolve this today.,en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00825,email,Could you help me? One product from my order is missing. I’m trying to sort this out before the end of the day. Thanks.,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00826,mobile_app,"Hello, I can't finish the purchase because the payment isn't accepted. Thank you.",en,True,payment_failure,payment_failure,payment_failure,payment_failure,high,approved,
CONV-00827,email,I need some help. I changed my mind and would like to send the item back. Please let me know.,en,True,refund_status,refund_status,return_request,refund_status,medium,adjudicated,REVIEWER-001
CONV-00828,email,"Hi, When should the refund appear in my account? I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00829,mobile_app,I need some help. I don't want the subscription to continue after this billing period. I haven't changed anything on my account.,en,True,order_cancellation,subscription_cancel,subscription_cancel,subscription_cancel,medium,adjudicated,REVIEWER-001
CONV-00830,email,Just checking — Can I change the shipping address for ORD-103545? I’m trying to sort this out before the end of the day. Thanks.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00831,mobile_app,Why is the coupon being rejected at checkout? I haven't changed anything on my account. Please let me know.,en,True,promo_code,promo_code,promo_code,promo_code,high,approved,
CONV-00832,mobile_app,I no longer want this order. Is cancellation still possible? This is my first time dealing with this issue. Can you check?,en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00833,email,I need some help. The delivery date for ORD-100351 has passed and I'm still waiting. I haven't changed anything on my account. Can you check?,en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00834,chat,Quick question: I want to track the package that was just dispatched. I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00835,mobile_app,"Hello, I received a security alert for an unfamiliar sign-in. I haven't changed anything on my account. Thank you.",en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00836,email,"Quick question: The box arrived, but mug wasn't inside. I’m trying to sort this out before the end of the day. Any guidance would be helpful.",en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00837,mobile_app,"Hello, Can you show me the latest tracking update for my shipment? This is my first time dealing with this issue. Can you check?",en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00838,web_form,I’m contacting support because Roughly how long will delivery take?,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00839,web_form,I’m contacting support because My multi-item order is incomplete.,en,True,missing_item,damaged_item,missing_item,missing_item,medium,adjudicated,REVIEWER-001
CONV-00840,web_form,I’m contacting support because My multi-item order is incomplete. This is my first time dealing with this issue. Can you check?,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00841,email,"Hi, I need the specifications before I decide whether to buy it. I’m trying to sort this out before the end of the day. Any guidance would be helpful.",en,True,product_information,product_information,product_information,product_information,high,approved,
CONV-00842,web_form,"Could you help me? I expected this shipment already, but it hasn't turned up. I noticed this while reviewing my recent activity. I’d like to resolve this today.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
